company_name,address,phone number,latitude,longitude,url
KGN PLACEMENT A BPO / KPO / CORPORATE FREE RECRUITMENT FIRM,"B-15 office no. 2 Deonar Municipal Colony, near Maharashtra Mutton shop, Govandi West, Maharashtra 400043",097681 23146,19.0522539,72.9244841,"https://www.google.com/maps/place/KGN+PLACEMENT+A+BPO+%2F+KPO+%2F+CORPORATE+FREE+RECRUITMENT+FIRM/@19.0108043,72.5467164,11z/data=!4m10!1m2!2m1!1sLeading+Client+mumbai!3m6!1s0x3be7c14c5d6d1d9d:0x6023d358c37bbfb0!8m2!3d19.0522539!4d72.9244841!15sChVMZWFkaW5nIENsaWVudCBtdW1iYWlaFyIVbGVhZGluZyBjbGllbnQgbXVtYmFpkgEUYnBvX3BsYWNlbWVudF9hZ2VuY3maASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTJjM0JRVFVKUkVBRaoBZwoJL20vMDFqMG1rCggvbS8wNHZtcBABKhIiDmxlYWRpbmcgY2xpZW50KAAyHxABIhvlPBP-32eAJsnMeJUd79b2RMCID5M9Aq-Mc84yGRACIhVsZWFkaW5nIGNsaWVudCBtdW1iYWngAQD6AQQIABBC!16s%2Fg%2F11h57wymvp?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Saurabh Bhardwaj - Lead Generation consultant,not found,097697 91086,19.0728793,72.9981865,"https://www.google.com/maps/place/Saurabh+Bhardwaj+-+Lead+Generation+consultant/@19.0522539,72.636093,11z/data=!4m10!1m2!2m1!1sLeading+Client+mumbai!3m6!1s0x3be7c105bb7324f5:0x2e8f9d3ecbb28332!8m2!3d19.0728793!4d72.9981865!15sChVMZWFkaW5nIENsaWVudCBtdW1iYWlaFyIVbGVhZGluZyBjbGllbnQgbXVtYmFpkgEUbWFya2V0aW5nX2NvbnN1bHRhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjFkVGRUVUZGbkVBRaoBZwoJL20vMDFqMG1rCggvbS8wNHZtcBABKhIiDmxlYWRpbmcgY2xpZW50KAAyHxABIhvlPBP-32eAJsnMeJUd79b2RMCID5M9Aq-Mc84yGRACIhVsZWFkaW5nIGNsaWVudCBtdW1iYWngAQD6AQQIABAr!16s%2Fg%2F11h_wrl_9f?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Tata Consultancy Services,"Banyan Park, Suren Rd, Gundavali, Andheri East, Mumbai, Maharashtra 400093",022 6779 3838,19.1205969,72.857067,"https://www.google.com/maps/place/Tata+Consultancy+Services/@19.0728793,72.7097954,11z/data=!4m10!1m2!2m1!1sLeading+Client+mumbai!3m6!1s0x3be7c82e791896cd:0x83435e5c02f92800!8m2!3d19.1205969!4d72.857067!15sChVMZWFkaW5nIENsaWVudCBtdW1iYWlaFyIVbGVhZGluZyBjbGllbnQgbXVtYmFpkgEQc29mdHdhcmVfY29tcGFueZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOS2NqbElWMnQzUlJBQqoBUhABKhIiDmxlYWRpbmcgY2xpZW50KAAyHxABIhvlPBP-32eAJsnMeJUd79b2RMCID5M9Aq-Mc84yGRACIhVsZWFkaW5nIGNsaWVudCBtdW1iYWngAQD6AQQIABAt!16s%2Fg%2F1tmkjfh_?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
"3FTech Group Pvt Ltd – CRM, Lead Generation, Software & Marketing Experts in India","Ganraj Niwas, Sector 16, Talvali, Ghansoli Gaon, Ghansoli, Navi Mumbai, Maharashtra 400701",not found,19.125167,72.9938307,"https://www.google.com/maps/place/3FTech+Group+Pvt+Ltd+%E2%80%93+CRM,+Lead+Generation,+Software+%26+Marketing+Experts+in+India/@19.1205969,72.5686759,11z/data=!4m10!1m2!2m1!1sLeading+Client+mumbai!3m6!1s0xa754ff94a18de181:0x8f657326955299d1!8m2!3d19.125167!4d72.9938307!15sChVMZWFkaW5nIENsaWVudCBtdW1iYWlaFyIVbGVhZGluZyBjbGllbnQgbXVtYmFpkgEQc29mdHdhcmVfY29tcGFueaoBUhABKhIiDmxlYWRpbmcgY2xpZW50KAAyHxABIhvlPBP-32eAJsnMeJUd79b2RMCID5M9Aq-Mc84yGRACIhVsZWFkaW5nIGNsaWVudCBtdW1iYWngAQA!16s%2Fg%2F11xmmj29lp?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Mahavir Consulting,"81 RajuVilla,1st Floor, Kings Circle,, Matunga, Mumbai, Maharashtra 400019",099788 02842,19.0303402,72.8569408,"https://www.google.com/maps/place/Mahavir+Consulting/@19.125167,72.7054396,11z/data=!3m1!5s0x3be7cf2948d518f3:0xc1b83754d63cdc6d!4m10!1m2!2m1!1sLeading+Client+mumbai!3m6!1s0x3be7cf2eb495497b:0xb78ccc0793798f90!8m2!3d19.0303402!4d72.8569408!15sChVMZWFkaW5nIENsaWVudCBtdW1iYWlaFyIVbGVhZGluZyBjbGllbnQgbXVtYmFpkgEmaW1taWdyYXRpb25fYW5kX25hdHVyYWxpemF0aW9uX3NlcnZpY2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblRVTlpMVnB1VVhSblJSQUKqAVIQASoSIg5sZWFkaW5nIGNsaWVudCgAMh8QASIb5TwT_t9ngCbJzHiVHe_W9kTAiA-TPQKvjHPOMhkQAiIVbGVhZGluZyBjbGllbnQgbXVtYmFp4AEA-gEECDcQQQ!16s%2Fg%2F11g6rk5sjj?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Zycus,"Plot No. GJ - 07, Seepz++, Andheri East, Mumbai, Maharashtra 400096",022 6640 7676,19.12821,72.878848,"https://www.google.com/maps/place/Zycus/@19.1196478,72.8645868,15z/data=!4m10!1m2!2m1!1sZycus+Infotech+mumbai!3m6!1s0x3be7c81f6aaaaaab:0x10e36f4bd2bba32e!8m2!3d19.12821!4d72.878848!15sChVaeWN1cyBJbmZvdGVjaCBtdW1iYWlaFyIVenljdXMgaW5mb3RlY2ggbXVtYmFpkgEQc29mdHdhcmVfY29tcGFueZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOWGNFcHhNVFpCUlJBQqoBURABKhIiDnp5Y3VzIGluZm90ZWNoKAAyHhABIhrzvtGGr5x-eAalVG59JGSTtF4qg5nI7www4jIZEAIiFXp5Y3VzIGluZm90ZWNoIG11bWJhaeABAPoBBAgAEDs!16s%2Fg%2F11b76g5sss?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Mondelez India Foods Private Limited,"Unit No. 2001, 20th Floor Tower-3 (Wing C Indiabulls Finance Centre, Parel, Mumbai, Maharashtra 400013",022 3396 3100,19.0102851,72.8352936,"https://www.google.com/maps/place/Mondelez+India+Foods+Private+Limited/@19.1022433,72.7325238,11z/data=!3m1!5s0x3be7ceeb93b10b1b:0xb7b6857421d78223!4m10!1m2!2m1!1sMondelez+mumbai!3m6!1s0x3be7cee9a0c62b89:0x15e4bec16d987aad!8m2!3d19.0102851!4d72.8352936!15sCg9Nb25kZWxleiBtdW1iYWkiA4gBAZIBEGNvcnBvcmF0ZV9vZmZpY2WqAWEKDS9nLzExYmM4ZGY4azAKCi9tLzBuNTJ5azcQASoMIghtb25kZWxleigAMh8QASIb2TZ6Vc3s9wShFdkxZwlYAVp6llQiY3rsXu1dMhMQAiIPbW9uZGVsZXogbXVtYmFp4AEA!16s%2Fg%2F11btrrhw57?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Digilers Solutions - SEO Company in Mumbai | Digital Marketing Agency | Google Adwords | Social Media Marketing,"G-79, A wing, EXPRESS ZONE, on, Western Express Hwy, Malad, Panch Bawadi, Malad East, Mumbai, Maharashtra 400097",093269 88172,19.1764705,72.8583789,"https://www.google.com/maps/place/Digilers+Solutions+-+SEO+Company+in+Mumbai+%7C+Digital+Marketing+Agency+%7C+Google+Adwords+%7C+Social+Media+Marketing/@19.083058,72.87894,11z/data=!3m1!5s0x3be7b702294296e1:0x67bf5154c580557b!4m10!1m2!2m1!1sDigially+mumbai!3m6!1s0x49849c082816ca33:0x6b0b4b612c69bcd3!8m2!3d19.1764705!4d72.8583789!15sCg9EaWdpYWxseSBtdW1iYWlaESIPZGlnaWFsbHkgbXVtYmFpkgEQbWFya2V0aW5nX2FnZW5jeaoBUAoIL20vMDR2bXAQASoMIghkaWdpYWxseSgAMh8QASIb4K1RYLg044Ycw1IhvbpHQxtdhCSjf7hjJo_SMhMQAiIPZGlnaWFsbHkgbXVtYmFp4AEA!16s%2Fg%2F11v6fqkhs7?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Mumbai,not found,not found,18.9581934,72.8320729,"https://www.google.com/maps/place/Mumbai,+Maharashtra/@19.0828067,72.7141256,11z/data=!4m10!1m2!2m1!1s9nexus+mumbai!3m6!1s0x3be7c6306644edc1:0x5da4ed8f8d648c69!8m2!3d18.9581934!4d72.8320729!15sCg05bmV4dXMgbXVtYmFpkgEIbG9jYWxpdHngAQA!16zL20vMDR2bXA?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Accenture,"B 02, Godrej Business District, 1st to 6th Floor, Block-C, and 3rd Floor Block “A, &, Lal Bahadur Shastri Marg, Pirojshanagar, Vikhroli West, Mumbai, Maharashtra 400079",022 5025 0002,19.1173396,72.9264473,"https://www.google.com/maps/place/Accenture/@19.083058,72.87894,11z/data=!4m10!1m2!2m1!1sAccenture+mumbai!3m6!1s0x3be7c793847b16cb:0x2f7761f2dad56f0c!8m2!3d19.1173396!4d72.9264473!15sChBBY2NlbnR1cmUgbXVtYmFpIgOIAQGSAR5idXNpbmVzc19tYW5hZ2VtZW50X2NvbnN1bHRhbnSqAYUBCg0vZy8xMWJjNjRiejNfCgsvZy8xdHNia2xrcAoLL2cvMXZkNl90NDIKCS9tLzAxcnAyYwoIL20vMDR2bXAQASoNIglhY2NlbnR1cmUoADIeEAEiGr63XP0hziF_lF1blnxUAyKVdwKy-DZT3ibVMhQQAiIQYWNjZW50dXJlIG11bWJhaeABAA!16s%2Fg%2F1tsbklkp?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
SPEARHEAD LIVE INDIA PRIVATE LIMITED,"Dheeraj Swapna, Pali Naka, Pali Market, Bandra West, Mumbai, Maharashtra 400050",022 6715 1000,19.0622194,72.8292773,"https://www.google.com/maps/place/SPEARHEAD+LIVE+INDIA+PRIVATE+LIMITED/@19.0582644,72.8281599,16z/data=!4m10!1m2!2m1!1sSpearhead+Professional+mumbai!3m6!1s0x3be7c914bdd26e17:0x7d4fb3acbb01adb1!8m2!3d19.0622194!4d72.8292773!15sCh1TcGVhcmhlYWQgUHJvZmVzc2lvbmFsIG11bWJhaVofIh1zcGVhcmhlYWQgcHJvZmVzc2lvbmFsIG11bWJhaZIBGWludGVybmV0X3NlcnZpY2VfcHJvdmlkZXKqAWIQASoaIhZzcGVhcmhlYWQgcHJvZmVzc2lvbmFsKAAyHxABIhvWUitTYsnknP3COyusCEll4K1g6emsam-pnG8yIRACIh1zcGVhcmhlYWQgcHJvZmVzc2lvbmFsIG11bWJhaeABAA!16s%2Fg%2F11c32r6hrf?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Lodha Excelus,"Apollo Mills Compound, NM Joshi Marg, Mahalakshmi, Mumbai, Maharashtra 400011",022 6133 4400,18.9878692,72.8291534,"https://www.google.com/maps/place/Lodha+Excelus/@19.083058,72.87894,11z/data=!4m10!1m2!2m1!1sLodha+Group+mumbai!3m6!1s0x3be7ce5ff0c91c61:0x99e5f5f575271292!8m2!3d18.9878692!4d72.8291534!15sChJMb2RoYSBHcm91cCBtdW1iYWkiA4gBAZIBEGNvcnBvcmF0ZV9vZmZpY2WqAWYKDS9nLzExYmM1Z3gxZGgKCi9tLzBkbG04eXQQASoPIgtsb2RoYSBncm91cCgAMh4QASIad_-sCLNyT4kNg4KiSN1NJDNdvlzMlhmg9VoyFhACIhJsb2RoYSBncm91cCBtdW1iYWngAQA!16s%2Fg%2F1td40zbm?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Bizotics Tech Consultancy & Services Pvt. Ltd.,"3rd floor, V Mall, 342, Kandivali, Thakur Village, Kandivali E, Mumbai, Maharashtra 400101",098199 39971,19.2130266,72.8677019,"https://www.google.com/maps/place/Bizotics+Tech+Consultancy+%26+Services+Pvt.+Ltd./@19.16488,72.83875,12z/data=!3m1!5s0x3be7b776ca0aec73:0xe9a9581f572e167e!4m10!1m2!2m1!1sBiz+Tecno+mumbai!3m6!1s0x3be7b73851b00025:0xedc1e993a5dd8bf!8m2!3d19.2130266!4d72.8677019!15sChBCaXogVGVjbm8gbXVtYmFpWhIiEGJpeiB0ZWNubyBtdW1iYWmSARBzb2Z0d2FyZV9jb21wYW55mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU16YmpWVUxXNW5SUkFCqgFXCg0vZy8xMWc2cWtkemxiEAEqDSIJYml6IHRlY25vKAAyHxABIhuPnpqkBq2ZYxktXAREabox-YoHs8gX-93-WBIyFBACIhBiaXogdGVjbm8gbXVtYmFp4AEA-gEECAAQMg!16s%2Fg%2F11gd1tzjw4?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
HERE Mumbai,"Unit No. 1, 3rd Office Level Building No. 4 Serene Properties SEZ Mindspace, Navi Mumbai, Maharashtra 400708",022 6607 8000,19.1765229,72.9927878,"https://www.google.com/maps/place/HERE+Mumbai/@19.1645576,72.8411901,12z/data=!4m10!1m2!2m1!1sHere+Technologies+mumbai!3m6!1s0x3be7bf48fbce3c61:0x290badd63a1561fb!8m2!3d19.1765229!4d72.9927878!15sChhIZXJlIFRlY2hub2xvZ2llcyBtdW1iYWkiA4gBAZIBEHNvZnR3YXJlX2NvbXBhbnmqAXIKDS9nLzExYnlsNHNwX3QKCi9tLzA0bXlnbTQQASoVIhFoZXJlIHRlY2hub2xvZ2llcygAMh4QASIa4EzTouibDTsZBrqoC0moi0WfFRKoTgntqwIyHBACIhhoZXJlIHRlY2hub2xvZ2llcyBtdW1iYWngAQA!16s%2Fg%2F11b5pjffz2?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
BNP Paribas India Solutions Pvt. Ltd.,"Infinity, Building No.4, 601, Off Film City Road, Malad, Raheja Housing and Commercial Complex, Malad East, Mumbai, Maharashtra 400097",022 6783 1000,19.1764356,72.8828069,"https://www.google.com/maps/place/BNP+Paribas+India+Solutions+Pvt.+Ltd./@19.1153234,72.7838584,12z/data=!3m1!5s0x3be7b79de2867ceb:0xf4e76c3702a3aa69!4m10!1m2!2m1!1sBNP+Paribas+mumbai!3m6!1s0x3be7b7989b65347b:0x8ebf37d546785cd!8m2!3d19.1764356!4d72.8828069!15sChJCTlAgUGFyaWJhcyBtdW1iYWkiA4gBAZIBEGNvcnBvcmF0ZV9vZmZpY2WqAVQKDS9nLzExYmM2dGg3bmcKCS9tLzAycWhrNBABMh4QASIaj_jYJkdgjJde019qpIMctRVZUHetsQGmiGIyFhACIhJibnAgcGFyaWJhcyBtdW1iYWngAQA!16s%2Fg%2F1vtzfpdw?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
India Business Group,"3, MAKER CHAMBER, 51-57, Nariman Point, Mumbai, Maharashtra 400021",022 6747 1646,18.9248887,72.8231604,"https://www.google.com/maps/place/India+Business+Group/@19.083058,72.87894,11z/data=!4m10!1m2!2m1!1sLeading+Business+Group+mumbai!3m6!1s0x3be7d1e95f255555:0x8116394f78344663!8m2!3d18.9248887!4d72.8231604!15sCh1MZWFkaW5nIEJ1c2luZXNzIEdyb3VwIG11bWJhaVofIh1sZWFkaW5nIGJ1c2luZXNzIGdyb3VwIG11bWJhaZIBF25vbl9wcm9maXRfb3JnYW5pemF0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVE1ZGtvelVFMW5FQUWqAWIQASoaIhZsZWFkaW5nIGJ1c2luZXNzIGdyb3VwKAAyHxABIhvgL62-w_g21jRKKNX57ug6rpPoe0sUabcKx5QyIRACIh1sZWFkaW5nIGJ1c2luZXNzIGdyb3VwIG11bWJhaeABAPoBBAgAEDI!16s%2Fg%2F11hzlxjc81?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Oracle India,"Unit No. 501, Level 5, No, First International Financial Center, C54 & 55, G Block, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",022 6175 8000,19.0690706,72.8701536,"https://www.google.com/maps/place/Oracle+India/@19.1057475,72.7723701,12z/data=!4m10!1m2!2m1!1sOracle+mumbai!3m6!1s0x3be7c8ec320045b3:0xedf9281b34065ab8!8m2!3d19.0690706!4d72.8701536!15sCg1PcmFjbGUgbXVtYmFpIgOIAQGSARBzb2Z0d2FyZV9jb21wYW55qgFaCg0vZy8xMWJicmhjOXRuCggvbS8wNW5qdxABKgoiBm9yYWNsZSgAMh4QASIat7jty0vazhZtqBVfQ2WrjusjRYJNNIZjmtQyERACIg1vcmFjbGUgbXVtYmFp4AEA!16s%2Fg%2F1thp6ghg?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
